CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/01/2016,8:55,QUEENS,11103,40.76198,-73.91848,"(40.76198, -73.91848)",,,37-09     31 AVENUE                     ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3428900,Station Wagon/Sport Utility Vehicle,Bike,,,
04/01/2016,16:00,,,40.83401,-73.85348,"(40.83401, -73.85348)",,,WESTCHESTER AVENUE                      ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3411882,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,3:25,,,40.803387,-73.93505,"(40.803387, -73.93505)",E 125th St                      ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3409809,Pick-up Truck,4 dr sedan,,,
04/01/2016,18:00,BRONX,10465,40.82793,-73.81587,"(40.82793, -73.81587)",,,658       VINCENT AVENUE                ,1,0,1,0,0,0,0,0,Unspecified,,,,,3412597,4 dr sedan,,,,
04/01/2016,19:20,BROOKLYN,11234,40.609867,-73.92239,"(40.609867, -73.92239)",,,5100      AVENUE U                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3415617,4 dr sedan,4 dr sedan,,,
04/01/2016,12:50,MANHATTAN,10036,40.75838,-73.988945,"(40.75838, -73.988945)",,,694       8 AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3407306,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,15:41,,,40.619373,-74.1642,"(40.619373, -74.1642)",Staten Island Expy              ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Following Too Closely,Following Too Closely,,,3430552,4 dr sedan,4 dr sedan,Station Wagon/Sport Utility Vehicle,,
04/01/2016,5:30,MANHATTAN,10029,40.79593,-73.93889,"(40.79593, -73.93889)",2 AVENUE                        ,EAST 115 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3409448,2 dr sedan,,,,
04/01/2016,17:11,,,40.76187,-73.83898,"(40.76187, -73.83898)",Whitestone Expy                 ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3426333,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,9:40,BRONX,10452,40.83661,-73.92229,"(40.83661, -73.92229)",,,1221      JEROME AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3412265,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,14:35,QUEENS,11372,40.753536,-73.88405,"(40.753536, -73.88405)",,,34-15     83 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3429380,4 dr sedan,4 dr sedan,,,
04/01/2016,12:06,,,40.62453,-74.14083,"(40.62453, -74.14083)",,,1578      FOREST AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3430098,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,21:20,,,40.767647,-73.92078,"(40.767647, -73.92078)",,,31 STREET                               ,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,3428913,4 dr sedan,Bike,,,
04/01/2016,13:00,BROOKLYN,11226,40.64598,-73.965324,"(40.64598, -73.965324)",,,159       MARLBOROUGH ROAD              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3417384,,,,,
04/01/2016,20:30,,,40.847385,-73.88948,"(40.847385, -73.88948)",,,CROTONA AVENUE                          ,2,0,0,0,0,0,2,0,Illnes,Unspecified,,,,3413672,2 dr sedan,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,8:08,,,40.823914,-73.87644,"(40.823914, -73.87644)",Bruckner Expy                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3411027,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,21:40,,,40.63874,-74.17124,"(40.63874, -74.17124)",,,85        HOLLAND AVENUE                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Driver Inattention/Distraction,,,,3430109,fdny,4 dr sedan,,,
04/01/2016,9:30,QUEENS,11103,40.769485,-73.91503,"(40.769485, -73.91503)",,,34-16     ASTORIA BOULEVARD             ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3428899,4 dr sedan,Beverage Truck,,,
04/01/2016,18:30,QUEENS,11354,40.762207,-73.827324,"(40.762207, -73.827324)",38 AVENUE                       ,138 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3426334,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,0:15,MANHATTAN,10037,40.81551,-73.93564,"(40.81551, -73.93564)",,,2300      5 AVENUE                      ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3410378,4 dr sedan,Taxi,,,
04/01/2016,8:15,BROOKLYN,11203,40.66252,-73.935196,"(40.66252, -73.935196)",,,840       EAST NEW YORK AVENUE          ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3417732,Box Truck,4 dr sedan,,,
04/01/2016,19:30,BRONX,10473,40.808907,-73.85458,"(40.808907, -73.85458)",,,182       SOUND VIEW AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3411896,Station Wagon/Sport Utility Vehicle,,,,
04/01/2016,12:24,QUEENS,11377,40.755695,-73.901566,"(40.755695, -73.901566)",,,32-14     61 STREET                     ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3428905,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,14:30,BROOKLYN,11238,40.682495,-73.95682,"(40.682495, -73.95682)",,,18        JEFFERSON AVENUE              ,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3420086,Station Wagon/Sport Utility Vehicle,4 dr sedan,4 dr sedan,Station Wagon/Sport Utility Vehicle,2 dr sedan
04/01/2016,14:05,QUEENS,11419,40.682583,-73.82804,"(40.682583, -73.82804)",,,107-43    113 STREET                    ,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,3424573,4 dr sedan,4 dr sedan,,,
04/01/2016,17:00,QUEENS,11436,40.66783,-73.79812,"(40.66783, -73.79812)",,,135-30    140 STREET                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3428371,Station Wagon/Sport Utility Vehicle,,,,
04/01/2016,20:02,,,40.68812,-73.9117,"(40.68812, -73.9117)",,,EVERGREEN AVENUE                        ,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3420528,4 dr sedan,Pick-up Truck,,,
04/01/2016,16:41,,,40.732136,-73.92556,"(40.732136, -73.92556)",Brooklyn Queens Expy            ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3421122,Sedan,Sedan,,,
04/01/2016,14:45,,,40.76208,-73.95475,"(40.76208, -73.95475)",Franklin D Roosevelt Dr         ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3408700,,,,,
04/01/2016,14:00,,,40.888992,-73.8892,"(40.888992, -73.8892)",Major Deegan Expy               ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3412905,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
04/01/2016,22:55,QUEENS,11385,40.707596,-73.90398,"(40.707596, -73.90398)",,,2100      GATES AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3423304,4 dr sedan,4 dr sedan,,,
04/01/2016,17:15,,,40.66956,-73.94492,"(40.66956, -73.94492)",Eastern Pkwy                    ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3417735,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,9:05,,,40.71958,-73.75834,"(40.71958, -73.75834)",,,FRANCIS LEWIS BOULEVARD                 ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3422805,Bus,UNKNO,,,
04/01/2016,9:00,,,40.754192,-73.9328,"(40.754192, -73.9328)",,,38 AVENUE                               ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3428898,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
04/01/2016,11:04,BROOKLYN,11208,40.678745,-73.866844,"(40.678745, -73.866844)",,,1151      LIBERTY AVENUE                ,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,,,,3418846,4 dr sedan,Box Truck,,,
04/01/2016,14:30,BRONX,10451,40.819008,-73.92712,"(40.819008, -73.92712)",,,555       GRAND CONCOURSE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3412269,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
04/01/2016,23:50,MANHATTAN,10003,40.735695,-73.99286,"(40.735695, -73.99286)",,,35        EAST 14 STREET                ,0,0,0,0,0,0,0,0,Passenger Distraction,Alcohol Involvement,,,,3406948,Bus,4 dr sedan,,,
04/01/2016,9:28,,,40.748035,-73.969635,"(40.748035, -73.969635)",Queens Midtown Tunnel           ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3407813,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,18:00,MANHATTAN,10016,40.746677,-73.98041,"(40.746677, -73.98041)",,,120       EAST 34 STREET                ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3407311,4 dr sedan,Bus,,,
04/01/2016,16:10,,,40.58517,-73.94494,"(40.58517, -73.94494)",,,SHORE PARKWAY                           ,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,,3414909,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,4 dr sedan,Station Wagon/Sport Utility Vehicle,
04/01/2016,10:30,QUEENS,11377,40.743965,-73.89768,"(40.743965, -73.89768)",,,41-31     67 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3425703,Station Wagon/Sport Utility Vehicle,,,,
04/01/2016,16:00,BROOKLYN,11211,40.70923,-73.95356,"(40.70923, -73.95356)",,,344       SOUTH 3 STREET                ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3421405,Station Wagon/Sport Utility Vehicle,,,,
04/01/2016,16:30,,,40.787045,-73.811714,"(40.787045, -73.811714)",Cross Island Pkwy               ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3423918,,,,,
04/01/2016,14:40,QUEENS,11375,40.71131,-73.85635,"(40.71131, -73.85635)",,,96-10     METROPOLITAN AVENUE           ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3427952,Van,4 dr sedan,,,
04/01/2016,15:35,BROOKLYN,11233,40.681103,-73.90877,"(40.681103, -73.90877)",SUMPTER STREET                  ,STONE AVENUE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3418377,4 dr sedan,4 dr sedan,,,
04/01/2016,17:30,BROOKLYN,11232,40.66449,-73.99723,"(40.66449, -73.99723)",,,668       3 AVENUE                      ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3418035,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,15:00,BROOKLYN,11215,40.663837,-73.98081,"(40.663837, -73.98081)",,,1205      8 AVENUE                      ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3419801,4 dr sedan,Box Truck,,,
04/01/2016,13:00,BROOKLYN,11206,40.69916,-73.93201,"(40.69916, -73.93201)",,,92        JEFFERSON STREET              ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3420529,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,,,
04/01/2016,22:45,,,40.736553,-73.92961,"(40.736553, -73.92961)",Ramp                            ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3425680,4 dr sedan,Taxi,,,
04/01/2016,23:39,MANHATTAN,10075,40.77421,-73.96124,"(40.77421, -73.96124)",,,100       EAST 77 STREET                ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3408709,Tanker,,,,
04/01/2016,18:15,BROOKLYN,11211,40.703075,-73.95851,"(40.703075, -73.95851)",,,155       HEWES STREET                  ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3421390,4 dr sedan,Ambulance,,,
04/01/2016,19:23,,,40.619373,-74.1642,"(40.619373, -74.1642)",Staten Island Expy              ,,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,Unspecified,,,3430554,4 dr sedan,4 dr sedan,4 dr sedan,,
04/01/2016,5:55,QUEENS,11385,40.708054,-73.902534,"(40.708054, -73.902534)",,,59-54     GATES AVENUE                  ,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3423289,Station Wagon/Sport Utility Vehicle,4 dr sedan,Station Wagon/Sport Utility Vehicle,,
04/01/2016,6:33,,,40.7205,-73.943726,"(40.7205, -73.943726)",Bqe                             ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3421752,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
04/01/2016,23:00,STATEN ISLAND,10307,40.513287,-74.24527,"(40.513287, -74.24527)",,,150       LEE AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3430940,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,8:43,,,40.750786,-74.00564,"(40.750786, -74.00564)",,,WEST 26 STREET                          ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3406608,Station Wagon/Sport Utility Vehicle,DELIV,,,
04/01/2016,8:55,,,40.8047,-73.83141,"(40.8047, -73.83141)",BRONX WHITESTONE BRIDGE         ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3412629,Sedan,Sedan,,,
04/01/2016,7:20,BROOKLYN,11222,40.72263,-73.94831,"(40.72263, -73.94831)",,,261       DRIGGS AVENUE                 ,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3421754,Station Wagon/Sport Utility Vehicle,Bike,,,
04/01/2016,19:13,MANHATTAN,10009,40.72289,-73.97974,"(40.72289, -73.97974)",AVENUE C                        ,EAST 5 STREET,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3406355,Station Wagon/Sport Utility Vehicle,Bike,,,
04/01/2016,17:05,QUEENS,11377,40.734463,-73.89225,"(40.734463, -73.89225)",,,71-24     CALAMUS AVENUE                ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3423301,4 dr sedan,4 dr sedan,,,
04/01/2016,11:29,,,40.7711,-73.96594,"(40.7711, -73.96594)",,,EAST 71 STREET                          ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3408693,Box Truck,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,16:29,BROOKLYN,11216,40.68158,-73.94984,"(40.68158, -73.94984)",,,504       NOSTRAND AVENUE               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3420087,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,8:00,QUEENS,11385,40.709393,-73.8696,"(40.709393, -73.8696)",,,80-36     COOPER AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3423488,2 dr sedan,,,,
04/01/2016,13:50,BRONX,10462,40.84169,-73.86012,"(40.84169, -73.86012)",,,2000      EAST TREMONT AVENUE           ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3411881,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/01/2016,17:20,STATEN ISLAND,10301,40.61984,-74.10802,"(40.61984, -74.10802)",,,1063      CLOVE ROAD                    ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3429715,4 dr sedan,4 dr sedan,,,
04/01/2016,11:55,BROOKLYN,11216,40.672348,-73.950264,"(40.672348, -73.950264)",,,727       NOSTRAND AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3419527,4 dr sedan,,,,
04/01/2016,13:45,,,40.70133,-73.98734,"(40.70133, -73.98734)",MANHATTAN BR UPPER              ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3405720,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
04/01/2016,20:10,,,40.577366,-74.11145,"(40.577366, -74.11145)",,,SOUTH RAILROAD AVENUE                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3430556,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
